country,gdp_start,gdp_end,gdp_change_5yr
United States,20656516000000,27811517000000,34.63798541825738
India,2702929641648.7407,3500906030644.764,29.52264745260893
China,14147765772963.76,18270356654533.215,29.139518901618278
Russia,1657328773461.3062,2046284838151.092,23.46885367092595
Japan,5154293721629.556,4384854269961.9277,-14.9281258155456
