year,world_gtco2,region,emissions_gtco2,pct_share,population,emissions_per_capita
1960,9.387010408095339,China,0.7987999207448506,8.509630713266997,667070000,1.1974754084951365
1960,9.387010408095339,India,0.11132505425718525,1.185947915442586,435990338,0.25533835168885155
1960,9.387010408095339,United States,2.897315260185226,30.86515444455657,180671000,16.03641569585172
1960,9.387010408095339,European Union,2.0999776536232706,22.371101792027993,357710476,5.870607081754213
1960,9.387010408095339,Rest of World,3.479592519284808,37.06816513470587,1380070784,2.521314529389246
1961,9.415042136470143,China,0.5706301867818652,6.060835188102557,660330000,0.8641591125374662
1961,9.415042136470143,India,0.12040427618359567,1.278850104315489,446564729,0.2696233454290468
1961,9.415042136470143,United States,2.886872700170879,30.66234498291067,183691000,15.71591803719768
1961,9.415042136470143,European Union,2.1996457406031884,23.36310033157082,360681613,6.098580191841353
1961,9.415042136470143,Rest of World,3.6374892327306143,38.63486939310045,1411500774,2.577036654696595
1962,9.747287164298088,China,0.4596180740699149,4.715343524025666,665770000,0.690355639439919
1962,9.747287164298088,India,0.132581536541699,1.3601890896095943,457283090,0.2899331714664957
1962,9.747287164298088,United States,2.9939020314279836,30.715233694908562,186538000,16.049823796909926
1962,9.747287164298088,European Union,2.3546065415809267,24.156531985692087,363707978,6.473893024092331
1962,9.747287164298088,Rest of World,3.8065789806775636,39.05270170576409,1444073119,2.636001550471049
1963,10.266772213584883,China,0.4567794494449653,4.44910474238982,682335000,0.669435760213041
1963,10.266772213584883,India,0.14244414184017315,1.387428676480156,468138575,0.3042777276796153
1963,10.266772213584883,United States,3.126487470439275,30.45248696861454,189242000,16.52110773739062
1963,10.266772213584883,European Union,2.5128988347093366,24.4760357241032,366840786,6.850107541502587
1963,10.266772213584883,Rest of World,4.028162317151132,39.234943888412275,1477506688,2.7263242527881757
1964,10.82446609785044,China,0.46063709416445314,4.2555179165458155,698355000,0.6596030588518063
1964,10.82446609785044,India,0.13948826244656498,1.2886387299440574,479229598,0.2910677116536633
1964,10.82446609785044,United States,3.2643138045453366,30.156811200079193,191889000,17.011469154278448
1964,10.82446609785044,European Union,2.6442283315004107,24.428256392483974,370055037,7.145500174614325
1964,10.82446609785044,Rest of World,4.315798605193676,39.87077576094697,1511724565,2.8548842197280004
1965,11.310600441848921,China,0.5002863639440508,4.423163619970206,715185000,0.6995202135727829
1965,11.310600441848921,India,0.1537019400537241,1.35891936810915,490140146,0.31358773874793777
1965,11.310600441848921,United States,3.3995467555693972,30.056288992325857,194303000,17.49611048501257
1965,11.310600441848921,European Union,2.677125728373574,23.669174259469727,373129199,7.1747955816601054
1965,11.310600441848921,Rest of World,4.579939653908175,40.492453760125066,1546240177,2.961984639924523
1966,11.862646324054055,China,0.5494593175073462,4.63184438360267,735400000,0.7471570811902996
1966,11.862646324054055,India,0.15937340277488696,1.3434894577588752,500740247,0.31827560043298647
1966,11.862646324054055,United States,3.5714213141813502,30.10644688057107,196560000,18.169624105521724
1966,11.862646324054055,European Union,2.7586584919478896,23.255000752691405,376058575,7.335714900126636
1966,11.862646324054055,Rest of World,4.823733797642582,40.66321852537599,1580328367,3.0523617106232592
1967,12.237369275712846,China,0.46022589545446985,3.76082379378603,754550000,0.6099342594320719
1967,12.237369275712846,India,0.15955583912402782,1.3038410096906505,511606372,0.311872267150003
1967,12.237369275712846,United States,3.7054609529718263,30.27988180699873,198712000,18.647393982103882
1967,12.237369275712846,European Union,2.820350505959529,23.047032760194604,378902917,7.443464748938655
1967,12.237369275712846,Rest of World,5.091776082202993,41.608420629329984,1615244067,3.152326132149163
1968,12.90528307166949,China,0.49550656603587456,3.8395637142097447,774510000,0.6397678093709243
1968,12.90528307166949,India,0.17406933573514285,1.3488222983443974,522716889,0.33300882255431175
1968,12.90528307166949,United States,3.8409195562562455,29.76238130481678,200706000,19.137044015905083
1968,12.90528307166949,European Union,2.9935901632145097,23.196625340099914,381579577,7.845257827345695
1968,12.90528307166949,Rest of World,5.401197450427718,41.85260734252916,1651191095,3.271091678475724
1969,13.761785288614103,China,0.6076833656942292,4.415730611616211,796025000,0.7633973376391813
1969,13.761785288614103,India,0.1774133572271702,1.2891739952806431,533880544,0.33230908902941814
1969,13.761785288614103,United States,4.035145340419413,29.321379863104784,202677000,19.909241504558548
1969,13.761785288614103,European Union,3.192298841107081,23.19683655977578,384226226,8.308383512340152
1969,13.761785288614103,Rest of World,5.749244384166212,41.77687897022259,1688006782,3.40593678027427
1970,14.899124437287373,China,0.8079526265844333,5.422819508523644,818315000,0.987336938201589
1970,14.899124437287373,India,0.18172264515743614,1.2196867401325073,545864268,0.33290811619388894
1970,14.899124437287373,United States,4.3396860069355485,29.127121027829062,205052000,21.16383164726776
1970,14.899124437287373,European Union,3.3317866876604647,22.362298547706274,386406167,8.622498738899436
1970,14.899124437287373,Rest of World,6.237976470949491,41.868074175808516,1724951610,3.6163196896575496
1971,15.503854716903986,China,0.9092097002588906,5.8644106053675245,841105000,1.0809705093405586
1971,15.503854716903986,India,0.19196368505621278,1.2381674658426278,558096387,0.3439615262304373
1971,15.503854716903986,United States,4.365465254134969,28.157289486048043,207661000,21.022075662425635
1971,15.503854716903986,European Union,3.425789932470308,22.09637535325418,388553371,8.81678088045801
1971,15.503854716903986,Rest of World,6.611426144983606,42.643757089487636,1763197788,3.7496792418750506
1972,16.224596650076503,China,0.9686455958746376,5.9702291327536345,862030000,1.1236796815361851
1972,16.224596650076503,India,0.20303598325111302,1.2514085103629102,570482142,0.35590243463065846
1972,16.224596650076503,United States,4.573015379301501,28.18569532377212,209896000,21.787053489830683
1972,16.224596650076503,European Union,3.5560015675761965,21.917349591303577,391197266,9.09004708528867
1972,16.224596650076503,Rest of World,6.923898124073055,42.675317441807756,1800840914,3.8448138701456975
1973,17.085092898237612,China,1.0082925758136227,5.901592586117174,881940000,1.1432666347071487
1973,17.085092898237612,India,0.20909504121954509,1.2238449182861275,583465598,0.3583673860743116
1973,17.085092898237612,United States,4.785433993314527,28.009411607051675,211909000,22.582495284837012
1973,17.085092898237612,European Union,3.729276818990005,21.827664860837213,393739994,9.471419911155902
1973,17.085092898237612,Rest of World,7.352994468899912,43.037486027707814,1840013866,3.996162531581657
1974,17.011071682690527,China,1.0280998671539423,6.043710157309352,900350000,1.1418891177363717
1974,17.011071682690527,India,0.2158531809983455,1.2688981918639792,597041391,0.3615380512175336
1974,17.011071682690527,United States,4.621418771255842,27.16712302116937,213854000,21.610158197909982
1974,17.011071682690527,European Union,3.7101732794765203,21.810344161042927,396124649,9.36617624993218
1974,17.011071682690527,Rest of World,7.435526583805877,43.70992446861437,1879924200,3.955226803190191
1975,17.05275262618713,China,1.1832149556681808,6.938556968516461,916395000,1.2911626052828538
1975,17.05275262618713,India,0.2342091234736865,1.3734388142945455,611309535,0.38312689409250994
1975,17.05275262618713,United States,4.478562948820032,26.262991359779114,215973000,20.73667981099504
1975,17.05275262618713,European Union,3.6373609397486955,21.330051631447276,398397694,9.12997488320978
1975,17.05275262618713,Rest of World,7.519404658476535,44.09496122596261,1919995542,3.916365686268106
1976,17.989112065979,China,1.226421276914655,6.817575389026912,930685000,1.317761946216663
1976,17.989112065979,India,0.2447493671481686,1.3605416779355024,625861883,0.3910597110899125
1976,17.989112065979,United States,4.7481114129818796,26.394362298523365,218035000,21.77683130223074
1976,17.989112065979,European Union,3.9130024023721273,21.752059734912628,400490355,9.770528437250697
1976,17.989112065979,Rest of World,7.856827606562167,43.67546089960157,1960686301,4.007182384328888
1977,18.498634216613343,China,1.3408311147290002,7.248270867072014,943455000,1.4211924413236456
1977,18.498634216613343,India,0.2589617334090521,1.3998965025022359,640801103,0.40412185964831604
1977,18.498634216613343,United States,4.889953300780192,26.434131533822097,220239000,22.202939991464692
1977,18.498634216613343,European Union,3.8746408362063822,20.945550848973628,402445831,9.627732573545735
1977,18.498634216613343,Rest of World,8.134247231488718,43.97215024763003,2002017870,4.063024288334009
1978,19.069290539681667,China,1.4927778454531875,7.8281771539787295,956165000,1.5612136456084331
1978,19.069290539681667,India,0.2631495552584721,1.379965105208707,655728229,0.4013088709933702
1978,19.069290539681667,United States,4.941708664262827,25.914486194331808,222585000,22.201445130007983
1978,19.069290539681667,European Union,4.005136633364837,21.003071011113228,404312949,9.90603106645698
1978,19.069290539681667,Rest of World,8.366517841342343,43.874300535367524,2044639865,4.0919273778036915
1979,19.609020291566715,China,1.5256611481503406,7.780404759979183,969005000,1.5744615849766932
1979,19.609020291566715,India,0.27628473968285944,1.408967585196909,671155747,0.4116551797668797
1979,19.609020291566715,United States,5.008955779336503,25.544140935438335,225055000,22.256585187338665
1979,19.609020291566715,European Union,4.114610196488464,20.98325227527069,406112162,10.131708876249965
1979,19.609020291566715,Rest of World,8.683508427908546,44.283234444114875,2088728492,4.1573179382418965
1980,19.488524409128885,China,1.4944958841526663,7.668594362396207,981235000,1.5230764130434262
1980,19.488524409128885,India,0.2917110993869594,1.4968352311492346,687354025,0.42439716474630285
1980,19.488524409128885,United States,4.808877356405471,24.675430809696806,227225000,21.16350470417195
1980,19.488524409128885,European Union,4.079016943132164,20.930352947714482,407986180,9.997929202239556
1980,19.488524409128885,Rest of World,8.814423126051626,45.22878664904328,2133802687,4.130852013521542
1981,19.02290478058068,China,1.476487854357187,7.761631945213978,993885000,1.4855721279194143
1981,19.02290478058068,India,0.3149661872903519,1.6557207793621593,703696250,0.44758827020941483
1981,19.02290478058068,United States,4.686743198002041,24.637368751308948,229466000,20.424564850574992
1981,19.02290478058068,European Union,3.8649200861859887,20.31719198916166,409724709,9.432968042417937
1981,19.02290478058068,Rest of World,8.67978745474511,45.62808653495324,2180154231,3.98127221061963
1982,18.871097906658395,China,1.6065850134287218,8.5134686989349,1008630000,1.5928388144599326
1982,18.871097906658395,India,0.3253800095765641,1.7242240551449763,720313473,0.4517200104857182
1982,18.871097906658395,United States,4.447601938419118,23.56832633913603,231664000,19.198502738531314
1982,18.871097906658395,European Union,3.772962572552822,19.99333897378375,410988238,9.180220317041828
1982,18.871097906658395,Rest of World,8.71856837268117,46.200641933000355,2227943530,3.9132806802698323
1983,18.9919104329692,China,1.694216811044144,8.92072873355095,1023310000,1.6556242106928927
1983,18.9919104329692,India,0.3521988456657621,1.8544677056519756,737372681,0.4776402146986539
1983,18.9919104329692,United States,4.42971105054511,23.324199354138212,233792000,18.94723108808304
1983,18.9919104329692,European Union,3.730055864915257,19.6402351310589,412072128,9.051948946460307
1983,18.9919104329692,Rest of World,8.785727860798929,46.260369075599975,2276377727,3.859521096429586
1984,19.64780141968842,China,1.8448280124044034,9.389488284199379,1036825000,1.7793051020224275
1984,19.64780141968842,India,0.3615594326706341,1.8402030076928972,754875449,0.4789656799007038
1984,19.64780141968842,United States,4.662488490712444,23.730331914085394,235825000,19.770967839340372
1984,19.64780141968842,European Union,3.765173009107937,19.163329925225018,412998350,9.116678091106023
1984,19.64780141968842,Rest of World,9.013752474793002,45.87664686879731,2325516501,3.8760217228804783
1985,20.31190162559456,China,1.9980829041443624,9.83700561855136,1051040000,1.9010531513019129
1985,20.31190162559456,India,0.3975921154960393,1.957434231539614,772647793,0.5145839010971449
1985,20.31190162559456,United States,4.6529379887376106,22.907446454321885,237924000,19.556404518827907
1985,20.31190162559456,European Union,3.823161737431707,18.822273797418497,413962998,9.235515627973365
1985,20.31190162559456,Rest of World,9.440126879784843,46.475839898168644,2375165997,3.974512472689648
1986,20.614963191398914,China,2.1042133538709558,10.207213732736069,1066790000,1.9724719521845497
1986,20.614963191398914,India,0.4263093881006889,2.0679609473111067,790689978,0.5391612388701466
1986,20.614963191398914,United States,4.663711645125507,22.622944323622786,240133000,19.421369179269437
1986,20.614963191398914,European Union,3.8084679627496683,18.474289414878303,415087013,9.175107491858986
1986,20.614963191398914,Rest of World,9.612260841552095,46.62759158145174,2425011571,3.963799990277282
1987,21.250074601500124,China,2.2577385394573217,10.624614650990164,1084035000,2.082717384085681
1987,21.250074601500124,India,0.45534305297944133,2.142783314969148,808931270,0.5628946115279254
1987,21.250074601500124,United States,4.826012650503312,22.71056803801821,242289000,19.918414168630488
1987,21.250074601500124,European Union,3.8410707184342363,18.075563453142326,416296769,9.226760821759433
1987,21.250074601500124,Rest of World,9.869909640125814,46.44647054288016,2475478239,3.987071865399587
1988,22.085130011617036,China,2.425893552815968,10.984284681774206,1101630000,2.20209467136513
1988,22.085130011617036,India,0.49169217093890555,2.226349451781673,827342990,0.5943026977709759
1988,22.085130011617036,United States,5.050858381251685,22.869950861031267,244499000,20.65799198054669
1988,22.085130011617036,European Union,3.802716346382842,17.21844673036821,417653885,9.104946662672232
1988,22.085130011617036,Rest of World,10.313969560227635,46.700968275044644,2526041131,4.083056856696778
1989,22.386637474888218,China,2.4636543673780835,11.005021947318532,1118650000,2.202346012942461
1989,22.386637474888218,India,0.5406510373545403,2.415061386333724,846039529,0.6390375612751545
1989,22.386637474888218,United States,5.132543278560299,22.926816429299095,246819000,20.794765713175643
1989,22.386637474888218,European Union,3.839695101989548,17.15172770496084,419102379,9.161711539675007
1989,22.386637474888218,Rest of World,10.410093689605748,46.50137253208782,2577043958,4.039548358222358
1990,22.728988297609117,China,2.4848548200000007,10.932535964486306,1135185000,2.1889426128780776
1990,22.728988297609117,India,0.5779960468230255,2.5429906481311595,864972221,0.6682249820171109
1990,22.728988297609117,United States,5.120957207036089,22.530510993200554,249623000,20.514765093905964
1990,22.728988297609117,European Union,3.8701080693571095,17.027190206104375,420525030,9.203038566710546
1990,22.728988297609117,Rest of World,10.675072154392897,46.96677218807763,2628941506,4.060597061604191
1991,23.186101443204016,China,2.6060961821768402,11.239906754314243,1150780000,2.2646345801776535
1991,23.186101443204016,India,0.6153649808902576,2.6540252245408196,883927600,0.6961712485165726
1991,23.186101443204016,United States,5.062956717790391,21.83617082066366,252981000,20.01318959839036
1991,23.186101443204016,European Union,3.8043983431420507,16.40809841387605,421741276,9.020692447333637
1991,23.186101443204016,Rest of World,11.097285219204473,47.861798786605206,2679066353,4.142221116239921
1992,22.528172032547293,China,2.7307875873620606,12.121656312890321,1164970000,2.344084042818322
1992,22.528172032547293,India,0.6554470163850181,2.9094549501755815,902957070,0.7258894560568844
1992,22.528172032547293,United States,5.1742275065790615,22.96780892432667,256514000,20.171325957176066
