country,gdp_start,gdp_end,gdp_change_5yr
United States,21539982000000,27811517000000,29.1157857049277
China,14560167101283.44,18270356654533.215,25.481778659825483
India,2835606256558.195,3500906030644.764,23.462346810240774
Russia,1693115002708.3157,2046284838151.092,20.859175831402133
Japan,5245755000479.025,4384854269961.9277,-16.41137892331005
