year,China,United States,India,Russia,Japan
1959,0.7201515568573484,2.83192311731533,0.10144725586886826,0.8497389868939467,0.19292043505385817
1960,0.7987999207448506,2.897315260185226,0.11132505425718525,0.8847015530725698,0.23282957740499935
1961,0.5706301867818652,2.886872700170879,0.12040427618359567,0.9123729798032622,0.28313131462047947
1962,0.4596180740699149,2.9939020314279836,0.132581536541699,0.9575892582204151,0.29327828308862697
1963,0.4567794494449653,3.126487470439275,0.14244414184017315,1.0269736729674503,0.32526415111685036
1964,0.46063709416445314,3.2643138045453366,0.13948826244656498,1.0922134752196695,0.35934909331024084
1965,0.5002863639440508,3.3995467555693972,0.1537019400537241,1.158638824703737,0.38696948308409534
1966,0.5494593175073462,3.5714213141813502,0.15937340277488696,1.2235808789501659,0.41978006077019014
1967,0.46022589545446985,3.7054609529718263,0.15955583912402782,1.2794390502005517,0.48991198987422985
1968,0.49550656603587456,3.8409195562562455,0.17406933573514285,1.3153955763313105,0.5625610839228123
1969,0.6076833656942292,4.035145340419413,0.1774133572271702,1.3698984661250928,0.6538456292527162
1970,0.8079526265844333,4.3396860069355485,0.18172264515743614,1.4407731394873782,0.7697402858877856
1971,0.9092097002588906,4.365465254134969,0.19196368505621278,1.5289547836929314,0.799643417555888
1972,0.9686455958746376,4.573015379301501,0.20303598325111302,1.6086550458070035,0.8610464322343154
1973,1.0082925758136227,4.785433993314527,0.20909504121954509,1.6765930992068518,0.9142622757513794
1974,1.0280998671539423,4.621418771255842,0.2158531809983455,1.740436772003181,0.9143025541699287
1975,1.1832149556681808,4.478562948820032,0.2342091234736865,1.8294517275531292,0.8697964621409928
1976,1.226421276914655,4.7481114129818796,0.2447493671481686,1.8999106529207324,0.9095554837097982
1977,1.3408311147290002,4.889953300780192,0.2589617334090521,1.9645339109388296,0.9355299014784347
1978,1.4927778454531875,4.941708664262827,0.2631495552584721,2.032001974593123,0.9050642799750968
1979,1.5256611481503406,5.008955779336503,0.27628473968285944,2.048854885885466,0.9571301808792234
1980,1.4944958841526663,4.808877356405471,0.2917110993869594,2.129468485728253,0.9485349899963997
1981,1.476487854357187,4.686743198002041,0.3149661872903519,2.088922588248979,0.9303688207781189
1982,1.6065850134287218,4.447601938419118,0.3253800095765641,2.1283051649794706,0.9007132733921419
1983,1.694216811044144,4.42971105054511,0.3521988456657621,2.1584923932626747,0.8844199077880746
1984,1.8448280124044034,4.662488490712444,0.3615594326706341,2.1776591428037704,0.9405275765114365
1985,1.9980829041443624,4.6529379887376106,0.3975921154960393,2.3485356079324964,0.9152633402403503
