year,country,emissions_gtco2,world_gtco2,pct_share
1959,China,0.7201515568573484,8.854689147428099,8.132996482056303
1959,United States,2.83192311731533,8.854689147428099,31.982185598665318
1959,India,0.10144725586886826,8.854689147428099,1.1456896360764315
1959,Russia,0.8497389868939467,8.854689147428099,9.596485802562125
1959,Japan,0.19292043505385817,8.854689147428099,2.1787375236079645
1960,China,0.7987999207448506,9.387010408095339,8.509630713266997
1960,United States,2.897315260185226,9.387010408095339,30.86515444455657
1960,India,0.11132505425718525,9.387010408095339,1.185947915442586
1960,Russia,0.8847015530725698,9.387010408095339,9.424742432474615
1960,Japan,0.23282957740499935,9.387010408095339,2.4803379061368416
1961,China,0.5706301867818652,9.415042136470143,6.060835188102557
1961,United States,2.886872700170879,9.415042136470143,30.66234498291067
1961,India,0.12040427618359567,9.415042136470143,1.278850104315489
1961,Russia,0.9123729798032622,9.415042136470143,9.690588385888265
1961,Japan,0.28313131462047947,9.415042136470143,3.0072230215915967
1962,China,0.4596180740699149,9.747287164298088,4.715343524025666
1962,United States,2.9939020314279836,9.747287164298088,30.715233694908562
1962,India,0.132581536541699,9.747287164298088,1.3601890896095943
1962,Russia,0.9575892582204151,9.747287164298088,9.824161759877443
1962,Japan,0.29327828308862697,9.747287164298088,3.008819563281495
1963,China,0.4567794494449653,10.266772213584883,4.44910474238982
1963,United States,3.126487470439275,10.266772213584883,30.45248696861454
1963,India,0.14244414184017315,10.266772213584883,1.387428676480156
1963,Russia,1.0269736729674503,10.266772213584883,10.002887485986783
1963,Japan,0.32526415111685036,10.266772213584883,3.1681247460274258
1964,China,0.46063709416445314,10.82446609785044,4.2555179165458155
1964,United States,3.2643138045453366,10.82446609785044,30.156811200079193
1964,India,0.13948826244656498,10.82446609785044,1.2886387299440574
1964,Russia,1.0922134752196695,10.82446609785044,10.0902295350767
1964,Japan,0.35934909331024084,10.82446609785044,3.3197858449720825
1965,China,0.5002863639440508,11.310600441848921,4.423163619970206
1965,United States,3.3995467555693972,11.310600441848921,30.056288992325857
1965,India,0.1537019400537241,11.310600441848921,1.35891936810915
1965,Russia,1.158638824703737,11.310600441848921,10.243831268380802
1965,Japan,0.38696948308409534,11.310600441848921,3.421299205763812
1966,China,0.5494593175073462,11.862646324054055,4.63184438360267
1966,United States,3.5714213141813502,11.862646324054055,30.10644688057107
