year,world_gtco2,region,emissions_gtco2,pct_share
1972,16.224596650076503,Rest of World,6.923898124073055,42.675317441807756
1973,17.085092898237612,China,1.0082925758136227,5.901592586117174
1973,17.085092898237612,India,0.20909504121954509,1.2238449182861275
1973,17.085092898237612,United States,4.785433993314527,28.009411607051675
1973,17.085092898237612,European Union,3.729276818990005,21.827664860837213
1973,17.085092898237612,Rest of World,7.352994468899912,43.037486027707814
1974,17.011071682690527,China,1.0280998671539423,6.043710157309352
1974,17.011071682690527,India,0.2158531809983455,1.2688981918639792
1974,17.011071682690527,United States,4.621418771255842,27.16712302116937
1974,17.011071682690527,European Union,3.7101732794765203,21.810344161042927
1974,17.011071682690527,Rest of World,7.435526583805877,43.70992446861437
1975,17.05275262618713,China,1.1832149556681808,6.938556968516461
1975,17.05275262618713,India,0.2342091234736865,1.3734388142945455
1975,17.05275262618713,United States,4.478562948820032,26.262991359779114
1975,17.05275262618713,European Union,3.6373609397486955,21.330051631447276
1975,17.05275262618713,Rest of World,7.519404658476535,44.09496122596261
1976,17.989112065979,China,1.226421276914655,6.817575389026912
1976,17.989112065979,India,0.2447493671481686,1.3605416779355024
1976,17.989112065979,United States,4.7481114129818796,26.394362298523365
1976,17.989112065979,European Union,3.9130024023721273,21.752059734912628
1976,17.989112065979,Rest of World,7.856827606562167,43.67546089960157
1977,18.498634216613343,China,1.3408311147290002,7.248270867072014
1977,18.498634216613343,India,0.2589617334090521,1.3998965025022359
1977,18.498634216613343,United States,4.889953300780192,26.434131533822097
1977,18.498634216613343,European Union,3.8746408362063822,20.945550848973628
1977,18.498634216613343,Rest of World,8.134247231488718,43.97215024763003
1978,19.069290539681667,China,1.4927778454531875,7.8281771539787295
1978,19.069290539681667,India,0.2631495552584721,1.379965105208707
1978,19.069290539681667,United States,4.941708664262827,25.914486194331808
1978,19.069290539681667,European Union,4.005136633364837,21.003071011113228
1978,19.069290539681667,Rest of World,8.366517841342343,43.874300535367524
1979,19.609020291566715,China,1.5256611481503406,7.780404759979183
1979,19.609020291566715,India,0.27628473968285944,1.408967585196909
